# GCV Weak Lensing Data (Interpolated from Literature)
# Sources: Mandelbaum+ 2006 (SDSS), Leauthaud+ 2012 (COSMOS)
# Units: Mstar [Msun], R [kpc], DeltaSigma [Msun/pc^2]

dataset,Mstar,R_kpc,DeltaSigma_obs,DeltaSigma_err
SDSS_LRG_L1,5e10,50,140,35
SDSS_LRG_L1,5e10,100,95,24
SDSS_LRG_L1,5e10,200,55,14
SDSS_LRG_L1,5e10,500,22,6
SDSS_LRG_L1,5e10,1000,10,3
SDSS_LRG_L2,2e11,50,220,45
SDSS_LRG_L2,2e11,100,150,30
SDSS_LRG_L2,2e11,200,85,17
SDSS_LRG_L2,2e11,500,35,7
SDSS_LRG_L2,2e11,1000,15,4
COSMOS_M10.5,3e10,30,110,22
COSMOS_M10.5,3e10,60,70,14
COSMOS_M10.5,3e10,120,40,8
COSMOS_M10.5,3e10,300,16,4
COSMOS_M10.5,3e10,600,7,2
COSMOS_M11.0,1e11,30,180,36
COSMOS_M11.0,1e11,60,115,23
COSMOS_M11.0,1e11,120,65,13
COSMOS_M11.0,1e11,300,26,5
COSMOS_M11.0,1e11,600,11,3
